"module name","version","licenses"
"copy-descriptor@0.1.1","0.1.1","MIT"
"core-js@2.5.7","2.5.7","MIT"
"core-util-is@1.0.2","1.0.2","MIT"
"cosmiconfig@2.1.3","2.1.3","MIT"
"cosmiconfig@4.0.0","4.0.0","MIT"
"cosmiconfig@5.0.6","5.0.6","MIT"
"create-ecdh@4.0.0","4.0.0","MIT"
"create-hash@1.1.3","1.1.3","MIT"
"create-hmac@1.1.6","1.1.6","MIT"
"cross-spawn@5.1.0","5.1.0","MIT"
"cross-spawn@6.0.5","6.0.5","MIT"
"crypto-browserify@3.11.0","3.11.0","MIT"
"css-color-names@0.0.4","0.0.4","MIT"
"css-declaration-sorter@4.0.1","4.0.1","MIT"
"css-select-base-adapter@0.1.0","0.1.0","MIT"
"css-select@2.0.0","2.0.0","BSD*"
"css-tree@1.0.0-alpha.28","1.0.0-alpha.28","MIT"
"css-tree@1.0.0-alpha.29","1.0.0-alpha.29","MIT"
"css-unit-converter@1.1.1","1.1.1","MIT"
"css-url-regex@1.1.0","1.1.0","MIT"
"css-what@2.1.0","2.1.0","BSD*"
"css@2.2.3","2.2.3","MIT"
"cssnano-preset-default@4.0.2","4.0.2","MIT"
"cssnano-util-get-arguments@4.0.0","4.0.0","MIT"
"cssnano-util-get-match@4.0.0","4.0.0","MIT"
"cssnano-util-raw-cache@4.0.1","4.0.1","MIT"
"cssnano-util-same-parent@4.0.1","4.0.1","MIT"
"cssnano@4.1.4","4.1.4","MIT"
"csso@3.5.1","3.5.1","MIT"
"custom-event@1.0.1","1.0.1","MIT"
"d@1.0.0","1.0.0","MIT"
"date-format@1.2.0","1.2.0","MIT"
"date-now@0.1.4","0.1.4","MIT"
"dateformat@2.2.0","2.2.0","MIT"
"debug-fabulous@0.2.1","0.2.1","MIT"
"debug@2.6.9","2.6.9","MIT"
"debug@3.1.0","3.1.0","MIT"
"debug@3.2.5","3.2.5","MIT"
"decamelize@2.0.0","2.0.0","MIT"
"decode-uri-component@0.2.0","0.2.0","MIT"
"deep-is@0.1.3","0.1.3","MIT"
"define-properties@1.1.3","1.1.3","MIT"
"define-property@0.2.5","0.2.5","MIT"
"define-property@1.0.0","1.0.0","MIT"
"define-property@2.0.2","2.0.2","MIT"
"defined@1.0.0","1.0.0","MIT"
"depd@1.1.1","1.1.1","MIT"
"depd@1.1.2","1.1.2","MIT"
"dependency-graph@0.7.2","0.7.2","MIT"
"deps-sort@2.0.0","2.0.0","MIT"
"des.js@1.0.0","1.0.0","MIT"
"destroy@1.0.4","1.0.4","MIT"
"detect-newline@2.1.0","2.1.0","MIT"
"detective@5.1.0","5.1.0","MIT"
"di@0.0.1","0.0.1","MIT"
"diff@3.5.0","3.5.0","BSD-3-Clause"
"diffie-hellman@5.0.2","5.0.2","MIT"
"dir-glob@2.0.0","2.0.0","MIT"
"dom-serialize@2.2.1","2.2.1","MIT"
"dom-serializer@0.1.0","0.1.0","MIT"
"dom-walk@0.1.1","0.1.1","MIT"
"domain-browser@1.2.0","1.2.0","MIT"
"domelementtype@1.1.3","1.1.3","BSD*"
"domelementtype@1.3.0","1.3.0","BSD*"
"domutils@1.7.0","1.7.0","BSD-2-Clause"
"dot-prop@4.2.0","4.2.0","MIT"
"duplexer2@0.0.2","0.0.2","BSD*"
"duplexer2@0.1.4","0.1.4","BSD-3-Clause"
"duplexify@3.5.1","3.5.1","MIT"
"earcut@2.1.3","2.1.3","ISC"
"ee-first@1.1.1","1.1.1","MIT"
"electron-to-chromium@1.3.73","1.3.73","ISC"
"elliptic@6.4.0","6.4.0","MIT"
"encodeurl@1.0.2","1.0.2","MIT"
"end-of-stream@1.4.0","1.4.0","MIT"
"engine.io-client@3.2.1","3.2.1","MIT"
"engine.io-parser@2.1.2","2.1.2","MIT"
"engine.io@3.2.0","3.2.0","MIT"
"ent@2.2.0","2.2.0","MIT"
"entities@1.1.1","1.1.1","BSD*"
"error-ex@1.3.1","1.3.1","MIT"
"error@4.4.0","4.4.0","MIT"
"es-abstract@1.12.0","1.12.0","MIT"
"es-to-primitive@1.2.0","1.2.0","MIT"
"es5-ext@0.10.35","0.10.35","MIT"
"es6-iterator@2.0.3","2.0.3","MIT"
"es6-map@0.1.5","0.1.5","MIT"
"es6-set@0.1.5","0.1.5","MIT"
"es6-symbol@3.1.1","3.1.1","MIT"
"es6-weak-map@2.0.2","2.0.2","MIT"
"escape-html@1.0.3","1.0.3","MIT"
"escape-string-regexp@1.0.5","1.0.5","MIT"
"escodegen@1.9.1","1.9.1","BSD-2-Clause"
"esprima@2.7.3","2.7.3","BSD-2-Clause"
"esprima@3.1.3","3.1.3","BSD-2-Clause"
"esprima@4.0.1","4.0.1","BSD-2-Clause"
"estraverse@4.2.0","4.2.0","BSD-2-Clause"
"estree-is-function@1.0.0","1.0.0","Apache-2.0"
"esutils@2.0.2","2.0.2","BSD"
"etag@1.8.1","1.8.1","MIT"
"ev-store@7.0.0","7.0.0","MIT"
"event-emitter@0.3.5","0.3.5","MIT"
"eventemitter3@3.1.0","3.1.0","MIT"
"events@2.1.0","2.1.0","MIT"
"evp_bytestokey@1.0.0","1.0.0","MIT"
"execa@0.10.0","0.10.0","MIT"
"execa@0.9.0","0.9.0","MIT"
"exorcist@1.0.1","1.0.1","MIT"
"expand-braces@0.1.2","0.1.2","MIT"
"expand-brackets@0.1.5","0.1.5","MIT"
"expand-brackets@2.1.4","2.1.4","MIT"
"expand-range@0.1.1","0.1.1","MIT"
"expand-range@1.8.2","1.8.2","MIT"
"express@4.16.3","4.16.3","MIT"
"extend-shallow@2.0.1","2.0.1","MIT"
"extend-shallow@3.0.2","3.0.2","MIT"
"extend@3.0.1","3.0.1","MIT"
"extglob@0.3.2","0.3.2","MIT"
"extglob@2.0.4","2.0.4","MIT"
"falcor-http-datasource@0.1.3","0.1.3","Apache*"
"falcor-json-graph@1.1.7","1.1.7","Apache*"
"falcor-path-syntax@0.2.4","0.2.4","UNKNOWN"
"falcor-path-utils@0.3.4","0.3.4","UNKNOWN"
"falcor@0.1.17","0.1.17","Apache License, Version 2.0"
"fancy-log@1.3.0","1.3.0","MIT"
"fast-glob@2.2.3","2.2.3","MIT"
"fast-levenshtein@2.0.6","2.0.6","MIT"
"filename-regex@2.0.1","2.0.1","MIT"
"fill-range@2.2.4","2.2.4","MIT"
"fill-range@4.0.0","4.0.0","MIT"
"finalhandler@1.1.0","1.1.0","MIT"
"finalhandler@1.1.1","1.1.1","MIT"
"find-up@3.0.0","3.0.0","MIT"
"first-chunk-stream@1.0.0","1.0.0","MIT"
"flatten@1.0.2","1.0.2","MIT"
"follow-redirects@1.5.8","1.5.8","MIT"
"for-in@1.0.2","1.0.2","MIT"
"for-own@0.1.5","0.1.5","MIT"
"fork-stream@0.0.4","0.0.4","BSD*"
"forwarded@0.1.2","0.1.2","MIT"
"fragment-cache@0.2.1","0.2.1","MIT"
"fresh@0.5.2","0.5.2","MIT"
"fs-access@1.0.1","1.0.1","MIT"
"fs-extra@7.0.0","7.0.0","MIT"
"fs.realpath@1.0.0","1.0.0","ISC"
"function-bind@1.1.0","1.1.0","MIT"
"function-bind@1.1.1","1.1.1","MIT"
"get-assigned-identifiers@1.2.0","1.2.0","Apache-2.0"
"get-caller-file@1.0.3","1.0.3","ISC"
"get-stdin@6.0.0","6.0.0","MIT"
"get-stream@3.0.0","3.0.0","MIT"
"get-value@2.0.6","2.0.6","MIT"
"glob-base@0.3.0","0.3.0","MIT"
"glob-parent@2.0.0","2.0.0","ISC"
"glob-parent@3.1.0","3.1.0","ISC"
"glob-stream@5.3.5","5.3.5","MIT"
"glob-to-regexp@0.3.0","0.3.0","BSD*"
"glob@5.0.15","5.0.15","ISC"
"glob@7.1.2","7.1.2","ISC"
"global@4.3.2","4.3.2","MIT"
"globby@8.0.1","8.0.1","MIT"
"glogg@1.0.0","1.0.0","MIT"
"graceful-fs@4.1.11","4.1.11","ISC"
"gulp-concat@2.6.1","2.6.1","MIT"
"gulp-if@2.0.2","2.0.2","MIT"
"gulp-match@1.0.3","1.0.3","MIT"
"gulp-plumber@1.1.0","1.1.0","MIT"
"gulp-postcss@7.0.0","7.0.0","MIT"
"gulp-sourcemaps@1.6.0","1.6.0","ISC"
